Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1976-01-01,0.0092759632,0.0667085922,0.3116560272,-1
1976-02-01,0.009264077792183207,0.06534269433704279,0.4042932003161439,-1
1976-03-01,0.00914116260733213,0.06871989199771923,0.5184145542635615,-1
1976-04-01,0.009291708553595407,0.0669635978586425,0.6137591149971684,-1
1976-05-01,0.015902367216878467,0.06930694998228035,0.6929178336957573,-1
1976-06-01,0.02964234037804367,0.0960223978102567,0.7562676936496104,-1
1976-07-01,0.04152068048253685,0.13758333458239985,0.8065489200110094,-1
1976-08-01,0.052086863756756974,0.165118385010821,0.8464557130864359,-1
1976-09-01,0.04900311344212207,0.1600150965577361,0.8745819314289641,-1
1976-10-01,0.05010889222992282,0.15775813462538768,0.8968374770279604,-1
1976-11-01,0.05671585120584231,0.1695242119101407,0.9167797396093732,-1
1976-12-01,0.05236700238522442,0.1630977163821939,0.9321467720914929,-1
1977-01-01,0.06594327161839174,0.1739338433021726,0.9461441086791376,-1
1977-02-01,0.063959464349901,0.16771793805201562,0.9566365323209076,-1
1977-03-01,0.06860318623944645,0.17463823991004387,0.9655814073607627,-1
1977-04-01,0.06926510323054558,0.18687730976000366,0.9726789632929369,-1
1977-05-01,0.06922651616605616,0.19734900515662004,0.9783127153385389,-1
1977-06-01,0.06960901895728416,0.20829361626942175,0.9817192891981787,-1
1977-07-01,0.06886947040203005,0.200658675349115,0.9836939471434683,-1
1977-08-01,0.0721932769408564,0.20351963592888642,0.9848344243059838,-1
1977-09-01,0.09005361308931835,0.2306161477576817,0.9837148670345787,-1
1977-10-01,0.12009976212791917,0.27877557589896274,0.9783882913723888,-1
1977-11-01,0.16047316933287098,0.3532544202823962,0.975951161607926,-1
1977-12-01,0.20308398258741867,0.42338800834887513,0.9757843899573242,-1
1978-01-01,0.3023493275967059,0.5246743965305932,0.9807795979162444,-1
1978-02-01,0.39506340486641345,0.6084100201470641,0.984744545877175,-1
1978-03-01,0.4563295145436398,0.6734714746007967,0.9878917075268953,-1
1978-04-01,0.41776666367144494,0.7037747435423729,0.9903896113630053,-1
1978-05-01,0.3554040550972677,0.7198465508249308,0.992372226203744,-1
1978-06-01,0.32796164510224374,0.7433042871555464,0.9939458291201511,-1
1978-07-01,0.3221382280878485,0.7789335084070234,0.9951948012851166,-1
1978-08-01,0.35471910886972413,0.8149611424332117,0.996186111231909,-1
1978-09-01,0.3835246794705738,0.8409197945760981,0.9969729143962016,-1
1978-10-01,0.46815609079596343,0.8658809364150937,0.9975973995738289,-1
1978-11-01,0.5373632759291936,0.8865913498506525,0.9980930541797499,-1
1978-12-01,0.5967179149287816,0.9032576958973279,0.9984864518909351,-1
1979-01-01,0.6042249761693028,0.9139547949786418,0.9987986949350858,-1
1979-02-01,0.612741716621692,0.918991251605276,0.9990465148941623,-1
1979-03-01,0.6143399569109705,0.9214914638131806,0.9992432160594246,-1
1979-04-01,0.6529719145886036,0.9269083610473725,0.9993992635686844,-1
1979-05-01,0.6954899457572321,0.9321587097177952,0.9995231234481599,-1
1979-06-01,0.7052708031557007,0.9315833905499762,0.999621421259163,-1
1979-07-01,0.7133102418654413,0.927882316395428,0.9996993697084091,-1
1979-08-01,0.6925869667757103,0.9165611758064137,0.9997609268703473,-1
1979-09-01,0.7100220475581092,0.9159639526086194,0.9998099765362569,-1
1979-10-01,0.7367728739148005,0.9162256775703035,0.9998481573626707,-1
1979-11-01,0.7650445583841546,0.9177905666101264,0.999876799226036,-1
1979-12-01,0.7830227550842153,0.9209111751176691,0.9999004464010235,-1
1980-01-01,0.7861940360910782,0.9138754260585007,0.9992327395862073,100
1980-02-01,0.7893848843128164,0.9145333066314203,0.9993899788613733,100
1980-03-01,0.8000241007922334,0.911596816001687,0.9995123188928721,100
1980-04-01,0.7807637940021503,0.8777830944545487,0.9986843639089584,100
1980-05-01,0.7893227641770235,0.870479890477049,0.9982817742382186,100
1980-06-01,0.754587327261802,0.8749231243019011,0.998635204240554,100
1980-07-01,0.6775161196731392,0.846605343573209,0.991195966083326,100
1980-08-01,0.6456701855410113,0.8435510221639677,0.9902719230366293,-1
1980-09-01,0.5737404806825286,0.8444372255657142,0.9922788081082097,-1
1980-10-01,0.48389847624565685,0.8471771556250723,0.9938716856248127,-1
1980-11-01,0.3898412676540468,0.7664310198618566,0.9951342294885339,-1
1980-12-01,0.3995022166609127,0.7939764777316409,0.996137900651545,-1
1981-01-01,0.46609785426358297,0.800135489726508,0.9961191854827077,-1
1981-02-01,0.5201639653923829,0.8079184016685454,0.9962103583422796,-1
1981-03-01,0.4631625801561542,0.7777914934293721,0.995982719737068,-1
1981-04-01,0.38215760685239214,0.676282448292831,0.9080678590197916,-1
1981-05-01,0.38024940806592467,0.704311765336761,0.9270331625519985,-1
1981-06-01,0.44549464136959116,0.7245942847561846,0.9412061852445892,-1
1981-07-01,0.5069963214654583,0.7525539100700718,0.9526160602009395,100
1981-08-01,0.5764556877628071,0.7899850295040767,0.9558408869342511,100
1981-09-01,0.6398492500596238,0.8236583926653956,0.9604881253253393,100
1981-10-01,0.6823090779842567,0.8514367973608152,0.9656992218119855,100
1981-11-01,0.7096748681521431,0.8711492604138604,0.969641763092803,100
1981-12-01,0.6758277798001882,0.8060882424359862,0.9267078783169567,100
1982-01-01,0.6550266480451034,0.7338048130139313,0.8700535430477148,100
1982-02-01,0.6779008356944614,0.7241709549717801,0.8621463840551272,100
1982-03-01,0.7104542359203075,0.7380137934335422,0.8639117178961739,100
1982-04-01,0.6699855051039849,0.7060021329387914,0.8402433508916215,100
1982-05-01,0.6181300934515647,0.6342782562430043,0.7700513265652726,100
1982-06-01,0.5869107390592909,0.5466267139451028,0.6729407746412839,100
1982-07-01,0.5850124960983467,0.5240190045042585,0.6593600685404902,100
1982-08-01,0.52270214624925,0.46380170376163427,0.6077899057397943,100
1982-09-01,0.4840856815052825,0.4269189537803778,0.5865892917141046,100
1982-10-01,0.4443248541339788,0.39117450820004734,0.5672571869055366,100
1982-11-01,0.4371665284843088,0.3821476001917618,0.5757326472382991,100
1982-12-01,0.3776651914113189,0.3253696415357896,0.5117980124800304,-1
1983-01-01,0.32961930303889037,0.28344740247977857,0.4717768016334337,-1
1983-02-01,0.3190691254430515,0.28232189289631565,0.4923707601055143,-1
1983-03-01,0.30837118395013513,0.27819251575246495,0.506389342028999,-1
1983-04-01,0.28372866801247454,0.26187350267882137,0.502688602950384,-1
1983-05-01,0.26998119499291556,0.2551122775342772,0.5068227090668135,-1
1983-06-01,0.2539352172224223,0.24948765724675842,0.5119375122534343,-1
1983-07-01,0.24310172365238725,0.2486995585880598,0.5199265307326646,-1
1983-08-01,0.19500498899083474,0.20483368769692709,0.43996334390757463,-1
1983-09-01,0.15552214684232654,0.16837562308244583,0.3801863957868369,-1
1983-10-01,0.12403711538884266,0.138660777512954,0.33000583462847133,-1
1983-11-01,0.09962962044573383,0.12256975833290504,0.32624467443623567,-1
1983-12-01,0.08042752178388528,0.1129865675820674,0.3397929815806119,-1
1984-01-01,0.0686014080288591,0.12731619651083934,0.38779978515777624,-1
1984-02-01,0.05988295808046058,0.14104049972221272,0.4268873046501163,-1
1984-03-01,0.05458229715046275,0.16174336610264498,0.4693082566786292,-1
1984-04-01,0.06881383741122299,0.2295366756231844,0.5403255531130997,-1
1984-05-01,0.10583256602424591,0.31392152653284444,0.6100313254522296,-1
1984-06-01,0.16620008423874313,0.394713880277324,0.67058143746871,-1
1984-07-01,0.18619478179020257,0.436224401673321,0.7102903446521855,-1
1984-08-01,0.17077426260055084,0.4348262503165716,0.726280501984215,-1
1984-09-01,0.16658400282954366,0.4350899723999333,0.7294749435934973,-1
1984-10-01,0.15165922708548124,0.4222374638208174,0.724482513962259,-1
1984-11-01,0.14865969008753904,0.4045856960565232,0.7057322596667325,-1
1984-12-01,0.13073698737418982,0.35270709880797857,0.6436318523199553,-1
1985-01-01,0.11579472524427044,0.30267780966402624,0.5769349138813701,-1
1985-02-01,0.09996039038239486,0.2582813758307325,0.5174203842670723,-1
1985-03-01,0.09062763008057642,0.2257842661234597,0.4735016036510186,-1
1985-04-01,0.07987640082751192,0.1967767466583479,0.4315143823205456,-1
1985-05-01,0.06945640812512915,0.16933160200678543,0.3860632024751075,-1
1985-06-01,0.06319655144808543,0.14707324915969147,0.34210463401248986,-1
1985-07-01,0.06843199753947692,0.13409476286609204,0.3146592199020149,-1
1985-08-01,0.07797331043113455,0.12361459647760989,0.29001574596078405,-1
1985-09-01,0.0900097155312703,0.11571949593067064,0.26983238324940556,-1
1985-10-01,0.08598723736259731,0.10461062977754787,0.2477776366279017,-1
1985-11-01,0.07287679794323798,0.09152043266579417,0.22546271569736825,-1
1985-12-01,0.06032677195675436,0.07994022477240509,0.20655272864242558,-1
1986-01-01,0.05241969525516218,0.07569694672317052,0.20077556835599397,-1
1986-02-01,0.04540698294910416,0.07284981687845356,0.19970958137443812,-1
1986-03-01,0.04202678035377702,0.07271159136664034,0.20257091147260325,-1
1986-04-01,0.04758744722917675,0.07861403571263562,0.212149761763891,-1
